Old Ward Code,New ward code,Ward,Borough,GCSE point scores - 2011,Public Transport Accessibility - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEHB,E05000101,Sudbury,Brent,356,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEHC,E05000102,Tokyngton,Brent,343,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEHD,E05000103,Welsh Harp,Brent,341,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEHE,E05000104,Wembley Central,Brent,343,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEHF,E05000105,Willesden Green,Brent,321,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGD,E05000106,Bickley,Bromley,389,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGE,E05000107,Biggin Hill,Bromley,355,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGF,E05000108,Bromley Common and Keston,Bromley,363,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGG,E05000109,Bromley Town,Bromley,373,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGH,E05000110,Chelsfield and Pratts Bottom,Bromley,369,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGJ,E05000111,Chislehurst,Bromley,373,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGK,E05000112,Clock House,Bromley,364,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGL,E05000113,Copers Cope,Bromley,356,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGM,E05000114,Cray Valley East,Bromley,337,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGN,E05000115,Cray Valley West,Bromley,333,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGP,E05000116,Crystal Palace,Bromley,330,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGQ,E05000117,Darwin,Bromley,367,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGR,E05000118,Farnborough and Crofton,Bromley,381,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGS,E05000119,Hayes and Coney Hall,Bromley,376,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGT,E05000120,Kelsey and Eden Park,Bromley,364,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGU,E05000121,Mottingham and Chislehurst North,Bromley,342,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGW,E05000122,Orpington,Bromley,366,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGX,E05000123,Penge and Cator,Bromley,337,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGY,E05000124,Petts Wood and Knoll,Bromley,384,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFGZ,E05000125,Plaistow and Sundridge,Bromley,351,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFHA,E05000126,Shortlands,Bromley,377,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AFHB,E05000127,West Wickham,Bromley,372,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGD,E05000128,Belsize,Camden,330,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGE,E05000129,Bloomsbury,Camden,363,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGF,E05000130,Camden Town with Primrose Hill,Camden,357,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGG,E05000131,Cantelowes,Camden,316,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGH,E05000132,Fortune Green,Camden,329,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGJ,E05000133,Frognal and Fitzjohns,Camden,328,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGK,E05000134,Gospel Oak,Camden,321,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGL,E05000135,Hampstead Town,Camden,322,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGM,E05000136,Haverstock,Camden,330,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGN,E05000137,Highgate,Camden,327,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGP,E05000138,Holborn and Covent Garden,Camden,331,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGQ,E05000139,Kentish Town,Camden,332,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGR,E05000140,Kilburn,Camden,332,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGS,E05000141,King's Cross,Camden,290,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGT,E05000142,Regent's Park,Camden,321,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGU,E05000143,St Pancras and Somers Town,Camden,320,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGW,E05000144,Swiss Cottage,Camden,333,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AGGX,E05000145,West Hampstead,Camden,351,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGE,E05000146,Addiscombe,Croydon,342,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGF,E05000147,Ashburton,Croydon,349,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGG,E05000148,Bensham Manor,Croydon,340,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGH,E05000149,Broad Green,Croydon,328,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGJ,E05000150,Coulsdon East,Croydon,352,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGK,E05000151,Coulsdon West,Croydon,386,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGL,E05000152,Croham,Croydon,369,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGM,E05000153,Fairfield,Croydon,367,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGN,E05000154,Fieldway,Croydon,317,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGP,E05000155,Heathfield,Croydon,354,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGQ,E05000156,Kenley,Croydon,355,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGR,E05000157,New Addington,Croydon,332,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGS,E05000158,Norbury,Croydon,356,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGT,E05000159,Purley,Croydon,375,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGU,E05000160,Sanderstead,Croydon,368,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGW,E05000161,Selhurst,Croydon,338,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGX,E05000162,Selsdon and Ballards,Croydon,366,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGY,E05000163,Shirley,Croydon,335,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHGZ,E05000164,South Norwood,Croydon,352,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHHA,E05000165,Thornton Heath,Croydon,340,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHHB,E05000166,Upper Norwood,Croydon,345,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHHC,E05000167,Waddon,Croydon,353,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHHD,E05000168,West Thornton,Croydon,344,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AHHE,E05000169,Woodside,Croydon,340,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGC,E05000170,Acton Central,Ealing,343,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGD,E05000171,Cleveland,Ealing,349,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGE,E05000172,Dormers Wells,Ealing,330,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGF,E05000173,Ealing Broadway,Ealing,359,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGG,E05000174,Ealing Common,Ealing,338,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGH,E05000175,East Acton,Ealing,341,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGJ,E05000176,Elthorne,Ealing,349,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGK,E05000177,Greenford Broadway,Ealing,328,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGL,E05000178,Greenford Green,Ealing,347,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGM,E05000179,Hanger Hill,Ealing,354,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGN,E05000180,Hobbayne,Ealing,356,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGP,E05000181,Lady Margaret,Ealing,330,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGQ,E05000182,Northfield,Ealing,381,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGR,E05000183,North Greenford,Ealing,344,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGS,E05000184,Northolt Mandeville,Ealing,341,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGT,E05000185,Northolt West End,Ealing,332,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGU,E05000186,Norwood Green,Ealing,341,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGW,E05000187,Perivale,Ealing,353,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGX,E05000188,South Acton,Ealing,343,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGY,E05000189,Southall Broadway,Ealing,332,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJGZ,E05000190,Southall Green,Ealing,339,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJHA,E05000191,Southfield,Ealing,340,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AJHB,E05000192,Walpole,Ealing,382,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKGL,E05000193,Bowes,Enfield,345,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKGM,E05000194,Bush Hill Park,Enfield,365,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKGN,E05000195,Chase,Enfield,335,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKGP,E05000196,Cockfosters,Enfield,355,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKGQ,E05000197,Edmonton Green,Enfield,335,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKGR,E05000198,Enfield Highway,Enfield,326,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKGS,E05000199,Enfield Lock,Enfield,333,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKGT,E05000200,Grange,Enfield,365,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKGU,E05000201,Haselbury,Enfield,332,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKGW,E05000202,Highlands,Enfield,358,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKGX,E05000203,Jubilee,Enfield,332,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKGY,E05000204,Lower Edmonton,Enfield,321,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKGZ,E05000205,Palmers Green,Enfield,350,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKHA,E05000206,Ponders End,Enfield,338,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKHB,E05000207,Southbury,Enfield,335,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKHC,E05000208,Southgate,Enfield,369,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKHD,E05000209,Southgate Green,Enfield,347,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKHE,E05000210,Town,Enfield,347,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKHF,E05000211,Turkey Street,Enfield,321,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKHG,E05000212,Upper Edmonton,Enfield,335,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AKHH,E05000213,Winchmore Hill,Enfield,380,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALGP,E05000214,Abbey Wood,Greenwich,314,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALGQ,E05000215,Blackheath Westcombe,Greenwich,370,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALGR,E05000216,Charlton,Greenwich,331,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALGS,E05000217,Coldharbour and New Eltham,Greenwich,347,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALGT,E05000218,Eltham North,Greenwich,366,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALGU,E05000219,Eltham South,Greenwich,352,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALGW,E05000220,Eltham West,Greenwich,311,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALGX,E05000221,Glyndon,Greenwich,320,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALGY,E05000222,Greenwich West,Greenwich,327,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
