Old Ward Code,New ward code,Ward,Borough,GCSE point scores - 2011,Public Transport Accessibility - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGC,E05000419,Clapham Town,Lambeth,346,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGD,E05000420,Coldharbour,Lambeth,341,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGE,E05000421,Ferndale,Lambeth,328,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGF,E05000422,Gipsy Hill,Lambeth,340,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGG,E05000423,Herne Hill,Lambeth,336,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGH,E05000424,Knight's Hill,Lambeth,354,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGJ,E05000425,Larkhall,Lambeth,342,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGK,E05000426,Oval,Lambeth,338,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGL,E05000427,Prince's,Lambeth,331,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGM,E05000428,St Leonard's,Lambeth,360,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGN,E05000429,Stockwell,Lambeth,333,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGP,E05000430,Streatham Hill,Lambeth,353,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGQ,E05000431,Streatham South,Lambeth,339,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGR,E05000432,Streatham Wells,Lambeth,340,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGS,E05000433,Thornton,Lambeth,364,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGT,E05000434,Thurlow Park,Lambeth,347,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGU,E05000435,Tulse Hill,Lambeth,338,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGW,E05000436,Vassall,Lambeth,329,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGD,E05000437,Bellingham,Lewisham,301,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGE,E05000438,Blackheath,Lewisham,346,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGF,E05000439,Brockley,Lewisham,315,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGG,E05000440,Catford South,Lewisham,338,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGH,E05000441,Crofton Park,Lewisham,335,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGJ,E05000442,Downham,Lewisham,314,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGK,E05000443,Evelyn,Lewisham,313,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGL,E05000444,Forest Hill,Lewisham,325,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGM,E05000445,Grove Park,Lewisham,325,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGN,E05000446,Ladywell,Lewisham,341,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGP,E05000447,Lee Green,Lewisham,342,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGQ,E05000448,Lewisham Central,Lewisham,331,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGR,E05000449,New Cross,Lewisham,309,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGS,E05000450,Perry Vale,Lewisham,316,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGT,E05000451,Rushey Green,Lewisham,308,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGU,E05000452,Sydenham,Lewisham,316,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGW,E05000453,Telegraph Hill,Lewisham,314,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AZGX,E05000454,Whitefoot,Lewisham,319,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAFX,E05000455,Abbey,Merton,353,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAFY,E05000456,Cannon Hill,Merton,376,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAFZ,E05000457,Colliers Wood,Merton,345,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGA,E05000458,Cricket Green,Merton,330,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGB,E05000459,Dundonald,Merton,396,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGC,E05000460,Figge's Marsh,Merton,342,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGD,E05000461,Graveney,Merton,365,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGE,E05000462,Hillside,Merton,391,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGF,E05000463,Lavender Fields,Merton,342,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGG,E05000464,Longthornton,Merton,356,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGH,E05000465,Lower Morden,Merton,369,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGJ,E05000466,Merton Park,Merton,373,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGK,E05000467,Pollards Hill,Merton,345,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGL,E05000468,Ravensbury,Merton,339,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGM,E05000469,Raynes Park,Merton,374,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGN,E05000470,St Helier,Merton,341,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGP,E05000471,Trinity,Merton,340,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGQ,E05000472,Village,Merton,409,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGR,E05000473,West Barnes,Merton,375,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BAGS,E05000474,Wimbledon Park,Merton,378,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGB,E05000475,Beckton,Newham,333,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGC,E05000476,Boleyn,Newham,345,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGD,E05000477,Canning Town North,Newham,332,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGE,E05000478,Canning Town South,Newham,319,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGF,E05000479,Custom House,Newham,314,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGG,E05000480,East Ham Central,Newham,333,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGH,E05000481,East Ham North,Newham,349,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGJ,E05000482,East Ham South,Newham,332,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGK,E05000483,Forest Gate North,Newham,324,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGL,E05000484,Forest Gate South,Newham,330,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGM,E05000485,Green Street East,Newham,327,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGN,E05000486,Green Street West,Newham,318,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGP,E05000487,Little Ilford,Newham,339,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGQ,E05000488,Manor Park,Newham,331,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGR,E05000489,Plaistow North,Newham,329,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGS,E05000490,Plaistow South,Newham,338,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGT,E05000491,Royal Docks,Newham,329,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGU,E05000492,Stratford and New Town,Newham,325,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGW,E05000493,Wall End,Newham,328,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BBGX,E05000494,West Ham,Newham,322,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCFY,E05000495,Aldborough,Redbridge,350,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCFZ,E05000496,Barkingside,Redbridge,376,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGA,E05000497,Bridge,Redbridge,328,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGB,E05000498,Chadwell,Redbridge,348,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGC,E05000499,Church End,Redbridge,365,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGD,E05000500,Clayhall,Redbridge,381,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGE,E05000501,Clementswood,Redbridge,337,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGF,E05000502,Cranbrook,Redbridge,353,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGG,E05000503,Fairlop,Redbridge,341,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGH,E05000504,Fullwell,Redbridge,346,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGJ,E05000505,Goodmayes,Redbridge,332,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGK,E05000506,Hainault,Redbridge,317,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGL,E05000507,Loxford,Redbridge,333,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGM,E05000508,Mayfield,Redbridge,332,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGN,E05000509,Monkhams,Redbridge,377,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGP,E05000510,Newbury,Redbridge,365,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGQ,E05000511,Roding,Redbridge,343,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGR,E05000512,Seven Kings,Redbridge,349,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGS,E05000513,Snaresbrook,Redbridge,343,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGT,E05000514,Valentines,Redbridge,360,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BCGU,E05000515,Wanstead,Redbridge,359,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDFW,E05000516,Barnes,Richmond upon Thames,335,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDFX,E05000517,East Sheen,Richmond upon Thames,374,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDFY,E05000518,Fulwell and Hampton Hill,Richmond upon Thames,380,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDFZ,E05000519,"Ham, Petersham and Richmond Riverside",Richmond upon Thames,337,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDGA,E05000520,Hampton,Richmond upon Thames,379,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDGB,E05000521,Hampton North,Richmond upon Thames,326,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDGC,E05000522,Hampton Wick,Richmond upon Thames,366,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDGD,E05000523,Heathfield,Richmond upon Thames,344,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDGE,E05000524,Kew,Richmond upon Thames,365,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDGF,E05000525,Mortlake and Barnes Common,Richmond upon Thames,350,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDGG,E05000526,North Richmond,Richmond upon Thames,351,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDGH,E05000527,St Margarets and North Twickenham,Richmond upon Thames,377,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDGJ,E05000528,South Richmond,Richmond upon Thames,348,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDGK,E05000529,South Twickenham,Richmond upon Thames,386,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDGL,E05000530,Teddington,Richmond upon Thames,384,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDGM,E05000531,Twickenham Riverside,Richmond upon Thames,379,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDGN,E05000532,West Twickenham,Richmond upon Thames,351,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BDGP,E05000533,Whitton,Richmond upon Thames,372,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGC,E05000534,Brunswick Park,Southwark,345,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGD,E05000535,Camberwell Green,Southwark,343,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGE,E05000536,Cathedrals,Southwark,340,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGF,E05000537,Chaucer,Southwark,349,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGG,E05000538,College,Southwark,329,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGH,E05000539,East Dulwich,Southwark,343,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGJ,E05000540,East Walworth,Southwark,317,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGK,E05000541,Faraday,Southwark,334,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGL,E05000542,Grange,Southwark,333,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGM,E05000543,Livesey,Southwark,331,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGN,E05000544,Newington,Southwark,343,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGP,E05000545,Nunhead,Southwark,346,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGQ,E05000546,Peckham,Southwark,339,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGR,E05000547,Peckham Rye,Southwark,358,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGS,E05000548,Riverside,Southwark,342,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGT,E05000549,Rotherhithe,Southwark,326,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGU,E05000550,South Bermondsey,Southwark,336,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGW,E05000551,South Camberwell,Southwark,341,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGX,E05000552,Surrey Docks,Southwark,294,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGY,E05000553,The Lane,Southwark,331,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BEGZ,E05000554,Village,Southwark,376,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGC,E05000555,Beddington North,Sutton,359,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGD,E05000556,Beddington South,Sutton,349,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGE,E05000557,Belmont,Sutton,381,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGF,E05000558,Carshalton Central,Sutton,371,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGG,E05000559,Carshalton South and Clockhouse,Sutton,370,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGH,E05000560,Cheam,Sutton,382,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGJ,E05000561,Nonsuch,Sutton,380,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGK,E05000562,St Helier,Sutton,326,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGL,E05000563,Stonecot,Sutton,366,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGM,E05000564,Sutton Central,Sutton,354,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGN,E05000565,Sutton North,Sutton,358,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGP,E05000566,Sutton South,Sutton,378,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGQ,E05000567,Sutton West,Sutton,375,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGR,E05000568,The Wrythe,Sutton,348,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGS,E05000569,Wallington North,Sutton,373,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGT,E05000570,Wallington South,Sutton,382,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGU,E05000571,Wandle Valley,Sutton,340,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BFGW,E05000572,Worcester Park,Sutton,375,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGFW,E05000573,Bethnal Green North,Tower Hamlets,336,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGFX,E05000574,Bethnal Green South,Tower Hamlets,327,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGFY,E05000575,Blackwall and Cubitt Town,Tower Hamlets,320,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGFZ,E05000576,Bow East,Tower Hamlets,331,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGGA,E05000577,Bow West,Tower Hamlets,335,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGGB,E05000578,Bromley-by-Bow,Tower Hamlets,340,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGGC,E05000579,East India and Lansbury,Tower Hamlets,325,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGGD,E05000580,Limehouse,Tower Hamlets,324,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGGE,E05000581,Mile End and Globe Town,Tower Hamlets,343,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGGF,E05000582,Mile End East,Tower Hamlets,342,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGGG,E05000583,Millwall,Tower Hamlets,334,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGGH,E05000584,St Dunstan's and Stepney Green,Tower Hamlets,352,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGGJ,E05000585,St Katharine's and Wapping,Tower Hamlets,350,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGGK,E05000586,Shadwell,Tower Hamlets,343,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGGL,E05000587,Spitalfields and Banglatown,Tower Hamlets,347,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGGM,E05000588,Weavers,Tower Hamlets,338,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BGGN,E05000589,Whitechapel,Tower Hamlets,349,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHFX,E05000590,Cann Hall,Waltham Forest,311,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHFY,E05000591,Cathall,Waltham Forest,331,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHFZ,E05000592,Chapel End,Waltham Forest,327,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGA,E05000593,Chingford Green,Waltham Forest,356,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGB,E05000594,Endlebury,Waltham Forest,335,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGC,E05000595,Forest,Waltham Forest,337,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGD,E05000596,Grove Green,Waltham Forest,331,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGE,E05000597,Hale End and Highams Park,Waltham Forest,350,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGF,E05000598,Hatch Lane,Waltham Forest,347,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGG,E05000599,High Street,Waltham Forest,340,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGH,E05000600,Higham Hill,Waltham Forest,320,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGJ,E05000601,Hoe Street,Waltham Forest,337,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGK,E05000602,Larkswood,Waltham Forest,351,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGL,E05000603,Lea Bridge,Waltham Forest,331,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGM,E05000604,Leyton,Waltham Forest,317,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGN,E05000605,Leytonstone,Waltham Forest,345,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGP,E05000606,Markhouse,Waltham Forest,336,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGQ,E05000607,Valley,Waltham Forest,337,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGR,E05000608,William Morris,Waltham Forest,343,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BHGS,E05000609,Wood Street,Waltham Forest,331,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BJFZ,E05000610,Balham,Wandsworth,358,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BJGA,E05000611,Bedford,Wandsworth,342,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BJGB,E05000612,Earlsfield,Wandsworth,344,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BJGC,E05000613,East Putney,Wandsworth,339,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BJGD,E05000614,Fairfield,Wandsworth,351,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BJGE,E05000615,Furzedown,Wandsworth,356,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BJGF,E05000616,Graveney,Wandsworth,335,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
